id,length,width
1,5.5,3.0
2,7.5,2.5
3,6.5,2.5
4,6.0,3.0
5,5.0,2.0
6,6.0,2.5
7,5.5,3.0
8,6.0,2.5
9,7.5,3.0
10,7.0,2.0
11,6.0,2.5
12,7.0,3.0
13,6.5,2.0
14,6.5,2.5
15,5.0,2.5
16,3.0,2.5
17,4.5,2.0
18,5.0,2.0
19,6.5,3.0
20,5.0,2.0
21,8.0,3.5
22,6.5,2.5
23,8.0,5.0
24,9.0,3.5
25,8.5,3.0
26,6.0,2.0
27,6.5,3.0
28,6.0,2.0
29,6.5,2.0
30,5.0,2.5
31,9.0,3.0
32,7.5,2.5
33,9.0,2.5
34,7.0,2.5
35,6.5,3.5
36,6.0,2.0
37,3.5,2.0
38,7.0,2.5
39,6.5,2.0
40,5.5,2.5
41,7.5,4.0
42,8.0,3.0
43,4.5,2.5
44,4.5,2.0
45,5.0,2.5
46,5.5,2.5
47,5.5,3.0
48,5.0,2.5
49,7.0,2.0
50,6.0,2.5
51,7.0,3.0
52,8.5,2.5
53,7.5,3.5
54,8.5,2.5
55,10.0,3.5
56,8.0,3.5
57,7.0,2.0
58,4.5,2.0
59,5.5,2.0
60,5.0,2.0
61,8.0,3.0
62,3.5,2.5
63,5.5,2.5
64,5.5,2.0
65,4.5,2.0
66,10.0,3.5
67,8.0,3.0
68,7.0,3.0
69,6.0,3.0
70,10.5,3.0
71,2.5,1.5
72,4.0,2.5
73,3.5,2.0
74,4.0,2.0
75,8.0,3.0
76,7.5,2.5
77,5.5,3.0
78,6.5,2.5
79,4.5,2.0
80,6.5,3.5
81,6.5,2.5
82,5.5,3.0
83,6.5,3.0
84,5.0,2.0
85,4.5,2.0
86,7.5,3.0
87,5.5,2.5
88,3.5,2.0
89,5.5,3.0
90,5.0,3.0
91,7.0,2.5
92,4.5,1.5
93,6.0,3.0
94,7.5,4.0
95,8.0,3.0
96,9.0,3.0
97,6.5,3.0
98,5.5,2.5
99,7.0,2.5
100,7.5,3.0
